,NPM,Judul,Abstrak,Prodi,Label,judul_tokens,abstrak_tokens
0,40411100468,perancangan dan implementasi sistem database terdistribusi menggunakan oracle studi kasus siakad universitas trunojoyo,sistem informasi akademik siakad merupakan sistem informasi yang berfungsi megani pengelolaan dan penyajian data data akademik yang oleh pihak fakultas siakad dianggap sangat penting dalam memberikan pelaya mahasiswa yang membutuhkan informasi akademik di universitas trunojoyo telah tersedia siakad namun masih menggunakan database terpusat sistem seperti ini memberikan kelebihan yaitu perawatannya mudah selain itu juga membutuhkan sedikit biaya namun sistem tersebut juga berpotensi mengahadapi kendala kendala yaitu dalam proses transaksi data karena padatnya jaringan yang menuju database siakad kelambatan dalam pemrosesan respon query dikarenakan data yang tersimpan semakin besar dan pemrosesan semakin kompleks dan juga memiliki kelemahan dalam hal ketersediaan data untuk itu sistem seperti ini memerlukan pengembangan sistem database yang lebih baik dengan menggunakan sistem databases terdistribusi pada masing masing fakultas yang dapat dijadikan solusi bagi permasalahan di atas karena dalam basisdata terdistribusi terdapat keuntungan yang tidak dimiliki oleh basisdata terpusat yaitu pengawasan distribusi reability availability kecepatan dalam pemrosesan query dan otonomi local,Teknik Informatika,RPL,"['perancangan', 'implementasi', 'sistem', 'database', 'terdistribusi', 'oracle', 'studi', 'siakad', 'universitas', 'trunojoyo']",sistem informasi akademik siakad sistem informasi fungsi megan kelola saji data data akademik fakultas siakad anggap pelaya mahasiswa butuh informasi akademik universitas trunojoyo sedia siakad database pusat sistem lebih awat mudah butuh biaya sistem potensi mengahadapi kendala kendala proses transaksi data padat jaring database siakad lambat pemrosesan respon query data simpan pemrosesan kompleks milik lemah sedia data sistem kembang sistem database sistem databases distribusi fakultas jadi solusi masalah basisdata distribusi untung milik basisdata pusat awas distribusi reability availability cepat pemrosesan query otonomi local
1,40411100476,aplikasi kontrol dan monitoring jaringan komputer berbasis mobile,berjalannya koneksi jaringan komputer dengan lancar dan tanpa gangguan merupakan harapan seluruh pengguya terutama pihak yang bertanggung jawab pada bidang itu yakni administrator jaringan namun tidak selamanya koneksijaringan dapat berjalan dengan lancar tanpa adanya gangguan kenyataan di lapangan terutama pada jaringan komputer skalabesar berpotensi besar terjadi gangguan atau bahkan kerusakan koneksi jaringan komputer hal ini rata rata disebabkan banyaknya penggunaan serta padatnya traffic data dalam jaringan komputer itu sendiri oleh karena itu untuk menjaga bahkan meningkatkan kualitas laya koneksi jaringan maka diperlukan adanya akses kontroldan monitoring pada level administrator jaringan secara real time berbasis mobile yang dapat mengatur dan mengetahuiinformasi tentang koneksi jaringan dan dapat diakses setiap saat pihak administrator jaringan dituntut untuk terlebih dahulu mengetahui adanya gangguan atau bahkan terputusnyakoneksi jaringan walaupun administrator tidak berada di tempat kontrol dan monitoring dengan adanya sistem kontrol danmonitoring berbasis mobile diharapkan dapat membantu tugas administrator dalam mengontrol dan memantau jaringan sertadalam mengambil kebijakan atas node â x x node yang terkoneksi pada jaringan yakni memanajemen koneksi port dan bandwidthsetiap saat dan secara mobile agar dengan segera dapat melakukan pembenahan ketika terjadi gangguan jaringan sebelumpemakai jaringan klien melakukan pengaduan atas adanya gangguan kata kunci administrator jaringan koneksi jaringan akses kontrol dan monitoring,Teknik Informatika,RPL,"['aplikasi', 'kontrol', 'monitoring', 'jaringan', 'komputer', 'berbasis', 'mobile']",jalan koneksi jaring komputer lancar ganggu harap pengguya tanggung bidang administrator jaring koneksijaringan jalan lancar ganggu nyata lapang jaring komputer skalabesar potensi ganggu rusa koneksi jaring komputer sebab banyak guna padat traffic data jaring komputer jaga tingkat kualitas laya koneksi jaring akses kontroldan monitoring level administrator jaring real time bas mobile atur mengetahuiinformasi koneksi jaring akses administrator jaring tuntut ganggu terputusnyakoneksi jaring administrator kontrol monitoring sistem kontrol danmonitoring bas mobile harap bantu tugas administrator kontrol pantau jaring sertadalam ambil bijak node x x node koneksi jaring manajemen koneksi port bandwidthsetiap mobile benah ganggu jaring sebelumpemakai jaring klien adu ganggu kunci administrator jaring koneksi jaring akses kontrol monitoring
2,40411100480,rancang bangun aplikasi proxy server untukenkripsi kode html menggunakanalgoritma blowfish,web server adalah sebuah perangkat lunak server yang berfungsimenerima permintaan http atau https dari web client danmengirimkan jawaban dalam bentuk halaman halaman web yangumumnya berbentuk dokumen html dokumen html yang dikirimmerupakan dokumen yang dibentuk dari bahasa markup yang plaintext artinya dokumen berisi kode kode html murni tanpa proses enkripsi tujuan dari penelitan ini adalah membuat sebuah aplikasi proxyserver yang menerima permintaan http dari web client danmeneruskannya ke web server kemudian aplikasi ini akan menerimarespon dari server dan melakukan proses enkripsi pada dokumen htmlterlebih dahulu sehingga dokumen html yang dikirim kepada webclient sudah berbentuk dokumen html yang terenkripsi web clientdisini bisa berupa aplikasi seperti internet explorer mozilla firefox atau opera aplikasi aplikasi tersebut biasa dikenal dengan sebutan webbrowser ketika web browser menerima dokumen html yang terenkripsidari aplikasi proxy server maka javascript engine yang ada di webbrowser akan melakukan proses dekripsi sekaligus rendering sehinggadokumen akan ditampilkan sesuai dengan aslinya namun apabila kodedari dokumen html tersebut dilihat melalui menu view source yangada di web browser akan didapatkan dokumen html yang tetapterenkripsi,Teknik Informatika,RPL,"['rancang', 'bangun', 'aplikasi', 'proxy', 'server', 'untukenkripsi', 'kode', 'html', 'menggunakanalgoritma', 'blowfish']",web server perangkat lunak server berfungsimenerima minta http https web client danmengirimkan bentuk halaman halaman web yangumumnya bentuk dokumen html dokumen html dikirimmerupakan dokumen bentuk bahasa markup plaintext dokumen isi kode kode html murni proses enkripsi tuju penelitan aplikasi proxyserver terima minta http web client danmeneruskannya web server aplikasi menerimarespon server proses enkripsi dokumen htmlterlebih dokumen html kirim webclient bentuk dokumen html enkripsi web clientdisini aplikasi internet explorer mozilla firefox opera aplikasi aplikasi kenal sebut webbrowser web browser terima dokumen html terenkripsidari aplikasi proxy server javascript engine webbrowser proses dekripsi rendering sehinggadokumen tampil sesuai asli kodedari dokumen html menu view source yangada web browser dapat dokumen html tetapterenkripsi
3,70411100070,sistem pendukung keputusan optimasi penjadwalan matakuliah untuk penggunaan ruangan kuliah bersama di universitas trunojoyo madura menggunakan algoritma genetika,penjadwalan kuliah di perguruan tinggi merupakan masalah yang kompleks dalam permasalahan tersebut terdapat beberapa variabel yang harus dipertimbangkan supaya mendapatkan jadwal yang optimal di dalam penyusu jadwal kuliah ini terdapat sangat banyak kemungki yang selayaknya dicoba untuk menemukan penjadwalan yang terbaik karena itu dibutuhkan metode optimasi yang dapat diterapkan untuk mengerjakan penjadwalan mata kuliah ini metode yang dapat digunakan untuk menyelesaikan permasalahan tersebut adalah dengan menggunakan algoritma genetika tugas akhir ini bertujuan untuk membuat suatu sistem yang dapat membuat jadwal matakuliah secara otomatis dan hasilnya optimal dari hasil penelitian yang dilakukan algoritma genetika mampu membuat jadwal dengan optimal yang dibuktikan dari nilai fitness yang memiliki nilai secara otomatis jadwal yang dibentuk akan optimal semoga adanya aplikasi ini diharapkan bisa mempermudah didalam pembuatan penjadwalan matakuliah dengan mudah dan cepat kata kunci algoritma genetika optimasi penjadwalan,Teknik Informatika,komputasi,"['sistem', 'pendukung', 'keputusan', 'optimasi', 'penjadwalan', 'matakuliah', 'penggunaan', 'ruangan', 'kuliah', 'universitas', 'trunojoyo', 'madura', 'algoritma', 'genetika']",jadwal kuliah guru kompleks masalah variabel timbang jadwal optimal susu jadwal kuliah kemungki layak coba temu jadwal baik butuh metode optimasi terap jadwal mata kuliah metode selesai masalah algoritma genetika tugas tuju sistem jadwal matakuliah otomatis hasil optimal hasil teliti algoritma genetika jadwal optimal bukti nilai fitness milik nilai otomatis jadwal bentuk optimal moga aplikasi harap mudah dalam buat jadwal matakuliah mudah cepat kunci algoritma genetika optimasi jadwal
4,80411100115,sistem augmented reality animasi benda bergerak menggunakan flartoolkit,seiring perkembangan teknologi yang ada didunia muncul teknologi yang disebut augmented reality augmented reality ar merupakan upaya untuk menggabungkan dunia maya dan dunia virtual yang dibuat melalui komputer sehingga batas antara keduanya menjadi sangat tipis head mounted display hmd merupakan contoh hasil dari penelitian tentang augmented reality ini merupakan satu satunya peralatan dasar dalam teknologi teknologi terbaru seiring berjalannya waktu augmented reality berkembang pesat sehingga memungkinkan pengembangan aplikasi ini di berbagai bidang untuk mengembangkan ar banyak sekali library pendukung yang dapat digunakan flartoolkit adalah salah satunya flartoolkit merupakan library pendukung augmented reality pada platform flash berdasarkan sistem ar animasi benda bergerak yang dibuat adalah animasi bergerak permai pingpong dimana telah dikolaborasikan dengan augmented reality untuk menggerakkan setiap langkah dari playernya interaksi antar obyek tersebut dapat dilihat dari gerak bola yang dapat dipukul dengan obyek virtual yang ditampilkan melalui augmented reality,Teknik Informatika,komputasi,"['sistem', 'augmented', 'reality', 'animasi', 'benda', 'bergerak', 'flartoolkit']",iring kembang teknologi dunia muncul teknologi augmented reality augmented reality ar upaya gabung dunia maya dunia virtual komputer batas tipis head mounted display hmd contoh hasil teliti augmented reality satu alat dasar teknologi teknologi baru iring jalan augmented reality kembang pesat kembang aplikasi bidang kembang ar library dukung flartoolkit salah satu flartoolkit library dukung augmented reality platform flash dasar sistem ar animasi benda gerak animasi gerak permai pingpong mana kolaborasi augmented reality gerak langkah playernya interaksi obyek gerak bola pukul obyek virtual tampil augmented reality
5,70411100007,gerak pekerja pada game real time strategy menggunakan finite state machine,gerak pekerja ada pada game yang memiliki genre rts real time strategy gerak pekerja memiliki berbagai macam gerak oleh sebab itu dibutuhkan sebuah pendekatan konsep ai untuk mendesain perilaku pekerja tersebut perilaku karakter tersebut harus ditambahi dengan ai artifical intelegent agar perilakunya menjadi lebih hidup dan realistis dalam penelitian ini ai yang digunakan adalah finite state machine finite state machine digunakan untuk menentukan gerak pekerja terhadap parameter parameter yang digunakan sebagai dasar gerak yang akan dilakukan selanjutnya akan disimulasikan pada game rts dengan menggunakan game engine hasil yang di peroleh dalam penelitian ini adalah penerapan metode finite state machine untuk menentukan gerak pekerja berdasarkan parameter jumlah harta prajurit kondisi bangu dan stockpile jumlah resources yang di bawa kata kunci game real time strategy gerak pekerja finite state machine,Teknik Informatika,komputasi,"['gerak', 'pekerja', 'game', 'real', 'time', 'strategy', 'finite', 'state', 'machine']",gerak kerja game milik genre rts real time strategy gerak kerja milik gerak butuh dekat konsep ai desain perilaku kerja perilaku karakter tambah ai artifical intelegent perilaku hidup realistis teliti ai finite state machine finite state machine tentu gerak kerja parameter parameter dasar gerak simulasi game rts game engine hasil oleh teliti terap metode finite state machine tentu gerak kerja dasar parameter harta prajurit kondisi bangu stockpile resources bawa kunci game real time strategy gerak kerja finite state machine
6,70411100126,rancang bangun game perawatan sapi karapan menggunakan metode fuzzy logic,perkembangan game yang semakin pesat memberikan berbagai alternative bagi peminatnya mulai dari bentuk game cerita maupun media penyajian keberadaan game yang menggambarkan budaya indonesia khususnya daerah kepulauan seperti madura terhitung sedikit sehingga dapat dirasa semakin lunturnya kebudayaan indonesia bagi anak bangsa adanya peminat game yang semakin banyak dapat digunakan sebagai sarana pengenalan budaya asli madura sebuah aplikasi game tentang olahraga yang sangat digemari di pulau madura tersebut seperti kerapan sapi adalah sangatlah penting untuk itu perlu dibangun aplikasi game kerapan sapi sebagai upaya pelestarian budaya bangsa khususnya pulau madura dengan upaya pembuatan game budaya maka dibangun game perawatan sapi karapan menggunakan metode logika fuzzy fuzzy logic dengan menginputkan parameter kekuatan dan kesehatan sapi karapan untuk menentukan harga jual sapi karapan dalam sebuah game perawatan sapi karapan kata kunci game kerapan sapi perawatan sapi kerapan budaya madura,Teknik Informatika,komputasi,"['rancang', 'bangun', 'game', 'perawatan', 'sapi', 'karapan', 'metode', 'fuzzy', 'logic']",kembang game pesat alternative minat bentuk game cerita media saji ada game gambar budaya indonesia daerah pulau madura hitung rasa luntur budaya indonesia anak bangsa minat game sarana kenal budaya asli madura aplikasi game olahraga gari pulau madura kerap sapi bangun aplikasi game kerap sapi upaya lestari budaya bangsa pulau madura upaya buat game budaya bangun game awat sapi karapan metode logika fuzzy fuzzy logic menginputkan parameter kuat sehat sapi karapan tentu harga jual sapi karapan game awat sapi karapan kunci game kerap sapi awat sapi kerap budaya madura
7,70411100109,ekstraksi fitur berbasis two dimensional linear discrimit analysis untuk pengenalan wajah,sistem pengenalan wajah adalah suatu sistem untuk mengenali identitas diri dari seseorang melalui wajah manusia teknologi ini mengidentifikasi bagian tubuh manusia yang unik dan tetap seperti wajah manusia hal khusus di bidang identifikasi dan pengenalan wajah manusia memanfaatkan pengolahan dan juga analisis citra wajah yang akan berperan penting dalam proses pengenalan wajah manusia sistem ini dapat di manfaatkan dalam suatu sistem keama di bidang biometrika pada penelitian ini telah di bangun suatu perangkat lunak pengenalan citra wajah manusia menggunakan metode two dimensional linear discrimit analysis dlda untuk menentukan karakteristik dari wajah manusia sedangkan pada tahap pengklasifikasian digunakan metode angular separation untuk mengukur kemiripan antara data pelatihan training dan data uji coba testing melalui proses testing gambar wajah ini dapat di ketahui identitas diri dari seseorang dari uji coba aplikasi menggunakan klasifikasi angular separation di peroleh akurasi pengenalan benar sebesar pada lima pose citra wajah pelatihan dan lima pose citra wajah uji coba testing dengan jumlah data masing masing dua ratus citra wajah manusia yang di ambil dari database orl dengan menggunakan sepuluh eigen kata kunci sistem pengenalan wajah two dimensional linear discrimit analysis angular separation,Teknik Informatika,komputasi,"['ekstraksi', 'fitur', 'berbasis', 'two', 'dimensional', 'linear', 'discrimit', 'analysis', 'pengenalan', 'wajah']",sistem kenal wajah sistem nali identitas wajah manusia teknologi identifikasi tubuh manusia unik wajah manusia khusus bidang identifikasi kenal wajah manusia manfaat olah analisis citra wajah peran proses kenal wajah manusia sistem manfaat sistem ama bidang biometrika teliti bangun perangkat lunak kenal citra wajah manusia metode two dimensional linear discrimit analysis dlda tentu karakteristik wajah manusia tahap klasifikasi metode angular separation ukur mirip data latih training data uji coba testing proses testing gambar wajah tahu identitas uji coba aplikasi klasifikasi angular separation oleh akurasi kenal pose citra wajah latih pose citra wajah uji coba testing data ratus citra wajah manusia ambil database orl puluh eigen kunci sistem kenal wajah two dimensional linear discrimit analysis angular separation
8,80411100083,implementasi algoritma prim dan depth first search pada pembuatan maze game berbasis android os mobile,teknologi mobile game beroperating system open source berkembang dengan sangat pesat karena keragaman variasinya mobile game memiliki banyak peminat dari berbagai kalangan hal inilah yang menjadi dasar bagi para pengembang untuk terus mengembangkan mobile game pada penelitian ini sebuah mobile game untuk mengasah kemampuan berfikir telah dikembangkan dengan mengimplementasikan algoritma prim dan depth first search dalam pembuatannya algoritma prim diterapkan pada saat pembuatan lintasan dari maze sedangkan algoritma depth first search diterapkan pada saat melakukan proses pencarian solusinya dari hasil pengujian dapat disimpulkan bahwa algoritma prim dan depth first search dapat berfungsi dengan baik pada resolusi screen x pixels dalam pembentukan lintasan dan pencarian solusi dari maze kata kunci mobile game android algoritma prim algoritma depth first search,Teknik Informatika,komputasi,"['implementasi', 'algoritma', 'prim', 'depth', 'first', 'search', 'pembuatan', 'maze', 'game', 'berbasis', 'android', 'os', 'mobile']",teknologi mobile game beroperating system open source kembang pesat ragam variasi mobile game milik minat kalang dasar kembang kembang mobile game teliti mobile game asah mampu berfikir kembang implementasi algoritma prim depth first search buat algoritma prim terap buat lintas maze algoritma depth first search terap proses cari solusi hasil uji simpul algoritma prim depth first search fungsi resolusi screen x pixels bentuk lintas cari solusi maze kunci mobile game android algoritma prim algoritma depth first search
9,70411100092,perancangan sistem informasi badan kepegawaian daerah bkd bangkalan sebagai sub sistem dari e government bangkalan menggunakan togaf adm,kantor badan kepegawaian kota bangkalan adalah instansi pemerintahan yang bergerak di bidang pelaya kepegawaian untuk meningkatkan kualitas pelaya maka perlu adanya sebuah sistem informasi yang mampu memonitoring dan membantu proses kinerja dari dinas tersebut oleh karena itu dalam penelitian ini dibahas bagaimana menerapkan architecture enterprise bkd bangkalan dengan menggunakkan metode togaf adm dan mengimplementa sikannya kedalam sebuah implementasi aplikasi enterprise yang akan dibentuk menjadi satu keterpaduan dengan e government bangkalan togaf adm memiliki empat komponen utama arsitektur bisnis arsitektur data arsitektur teknologi dan arsitektur aplikasi intinya togaf digunakan untuk membuat architecture enterprise dari semua aspek tersebut dalam penelitian ini akan dibahas tentang perancangan sistem arsitektur sistem informasi bkd bangkalan sebagai sub sistem dari e government bangkalan dengan menggunakan togaf adm tujuannya agar dapat menghasilkan sistem aplikasi administrasi kantor badan kepegawaian daerah bangkalan membuat blue print serta memperbaiki efisiensi kenyama serta aksesibilitas pelaya terhadap publik agar lebih baik kata kunci arsitektur interprise togaf adm arsitektur bisnis arsitektur data arsitektur aplikasi arsitektur teknologi,Teknik Informatika,RPL,"['perancangan', 'sistem', 'informasi', 'badan', 'kepegawaian', 'daerah', 'bkd', 'bangkalan', 'sub', 'sistem', 'e', 'government', 'bangkalan', 'togaf', 'adm']",kantor badan pegawai kota bangkal instansi perintah gerak bidang pelaya pegawai tingkat kualitas pelaya sistem informasi memonitoring bantu proses kerja dinas teliti bahas terap architecture enterprise bkd bangkal menggunakkan metode togaf adm mengimplementa sikannya dalam implementasi aplikasi enterprise bentuk padu e government bangkal togaf adm milik komponen utama arsitektur bisnis arsitektur data arsitektur teknologi arsitektur aplikasi inti togaf architecture enterprise aspek teliti bahas ancang sistem arsitektur sistem informasi bkd bangkal sub sistem e government bangkal togaf adm tuju hasil sistem aplikasi administrasi kantor badan pegawai daerah bangkal blue print baik efisiensi kenyama aksesibilitas pelaya publik kunci arsitektur interprise togaf adm arsitektur bisnis arsitektur data arsitektur aplikasi arsitektur teknologi
